title,pub_date,status,link,category,preview
"10 Fun Thoughts, Meditation in a Bottle, and Whole-Life Slow Breathing","Mon, 10 Jul 2023 10:28:00 +0000",publish,/blog/10-fun-thoughts-meditation-bottle-whole-life-slow-breathing,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 4 THOUGHTS 1. The Greatest Skill in Breathing (plus 9 more random thoughts) The greatest skill in breathing (like in life) "
"10 Percent More, Rich Inner Core, and My Kind of Equanimity","Mon, 12 Dec 2022 11:29:00 +0000",publish,/blog/10-percent-equanimity,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! 4 Thoug"
"4 Thoughts, Reaching Blissful States, and Breathing and Brain Health","Mon, 26 Jun 2023 10:28:00 +0000",publish,/blog/10-thoughts-blissful-states-breathing-brain-health,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 4 THOUGHTS 1. In my Brain: 4 Random One-Sentence Breathing Thoughts Slow breathing is air appreciation. Fast breathing is a"
"10 Zen Seconds, Breathe It Out, and the Power of Recreation","Mon, 06 Oct 2025 10:28:00 +0000",publish,/blog/10-zen-seconds-breathe-it-out-and-the-power-of-recreation,Breathwork techniques and how-to,Reading Time: 1 min 48 sec I hope the next 22-ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Breathe It Out: A Simple and Effective Technique “It is so important to Breathe It Out. This is the one exercise that I ask all my clients to rely on as an in-the-moment go-to strategy…Here i
18 Excellent Statements from Scientific Articles,"Sun, 21 Feb 2021 16:35:15 +0000",publish,/blog/18-excellent-statements,Breathwork techniques and how-to,"Over the past few years, I have accumulated over 500 pages of notes on over 100 scientific articles on breathing. I’ve recently been going back through them as part of a project I’m working on. In this post, I share some of the best ""one-liners"" I’ve come across. Enjoy! 1. Integrating Breathing Tech"
20 One-Sentence Thoughts on the Wim Hof Method,"Mon, 18 Jan 2021 10:53:38 +0000",publish,/blog/20-one-sentence-whm,Breathwork techniques and how-to,"The Wim Hof Method. For some, it’s easy to point out its flaws. For others, it’s hard to deny its power. But one thing is certain: it’s confusing as hell for just about everyone. Below, I share 20 one-sentence thoughts about the WHM. You might still be confused, but at least we can be confused toget"
Breathe profoundly to reduce stress and anxiety,"Sun, 20 Oct 2019 10:30:00 +0000",publish,/blog/2019/10/11/a-quick-way-to-reduce-anxiety-and-stress,Anxiety and stress,"Hi all, Last week we learned some devastating statistics. (Do you remember that 1 in 3 adolescents meets the criteria for anxiety?) The study I’m sharing this week shows you how to breathe (hint: deeply) to reduce anxiety. The effectiveness of diaphragmatic breathing relaxation training for reducing"
How to reduce anxiety and prevent disease,"Sun, 13 Oct 2019 10:30:00 +0000",publish,/blog/2019/10/11/how-to-reduce-anxiety-and-prevent-disease,Anxiety and stress,"“ Anxiety is often excitement and anticipation without the breath. ” - Michael Port Hi all, It seems like everywhere we look stress and anxiety are on the rise. For example, did you know that 1 in 3 adolescents meet the criteria for anxiety in the United States? Or that 14% of active duty military r"
How slow breathing improves emotional well-being (hint: it might be in your nose),"Sun, 27 Oct 2019 10:30:00 +0000",publish,/blog/2019/10/17/how-slow-breathing-improves-physiological-and-psychological-well-being-hint-it-might-be-in-your-nose,Breathwork techniques and how-to,"Hi everyone, I hope you’re having a great weekend. Let’s continue on our theme of slow breathing and enhanced well-being. If you missed/forgot last week’s post, check it out here . The paper I’m sharing this week might win best title award (well, at least the part before the colon): How breath-contr"
100 years of nasal breathing and mental function,"Sun, 03 Nov 2019 11:30:00 +0000",publish,/blog/2019/10/26/84fs4n2kobpk2fsw4qz002k19x7hu8,Breathwork techniques and how-to,"Happy Sunday! I hope you all enjoyed the extra hour of sleep as much as I did. Last week, we learned that the nose might provide the link between slow breathing and improved emotional outcomes. Before we explore the modern science behind that idea, let’s go back a century and see what we can learn. "
