title,author,blurb,date
The Breathing Cure,Patrick McKeown,"This is a massive tome on all things breathing. You can read it start-to-finish, or use it as a reference whenever you’re interested in a specific topic. There’s even a section on diabetes featuring yours truly 😊",2026-03-16
The Science of Enlightenment,Shinzen Young,"The title made me hesitant for a long time, but it surprised me how good this book was. It’s one I suspect I’ll revisit every few years to understand it even more deeply.",2026-03-09
Stolen Focus,Johann Hari,"An awesome look at why we can’t concentrate. Hari combines research, interviews, and a 3-month phone-free experiment to show how we can begin to reclaim our focus.",2026-03-02
Relaxation Revolution,"Herbert Benson, MD","A foundational book in the mind–body world, providing the science and stories on how the relaxation response heals.",2026-02-23
The Things You Can See Only When You Slow Down,Haemin Sunim,"This is an easy-reading, poetic, and practical book on mindful living. If you’re drawn to contemplative practices, you’ll certainly be happy you added this one to your library.",2026-02-16
Biofeedback and Mindfulness in Everyday Life,"Inna Khazan, Ph.D","Although I’m not a huge fan of biofeedback personally, this is an excellent book on breathing, mindfulness, and their application in everyday life. It also has a great basic physiology section, written in an accessible way. Definitely worth the read if you want to nerd out a little.",2026-02-09
How To Be Better At (Almost) Everything,Pat Flynn,"Does this have a cheesy title? Yes. But is it still one of my favorites of all time? Definitely. I read it about 6 years ago, and it had a huge impact on my life. If you love learning, make sure you check this one out 👏",2026-02-02
The Tibetan Yoga of Breath,Anyen Rinpoche & Allison Choying Zangmo,"An excellent book on the healing power of breathing (or as they call it, “wind energy training”). It blends wisdom with practical exercises you can start using right away. I definitely recommend it.",2026-01-26
The Oxygen Advantage,Patrick McKeown,"This one doesn’t need much explanation. If you’ve had it on your reading (or re-reading) list, here’s a nudge to pick it up.",2026-01-19
The No-Nonsense Meditation Book,"Steven Laureys, MD",This is a great book on the science of meditation (along with many fun anecdotes and practical suggestions). There’s even a whole chapter on breathing 😊,2026-01-12
The Healing Power of Mindfulness,"Jon Kabat-Zinn, Ph.D","This is another excellent mindfulness book from Kabat-Zinn. I’d still recommend Full Catastrophe Living first, but this is a great follow-up, grounded in both science and practicality.",2026-01-05
Blue Mind,Wallace J Nichols,"While this one isn’t about breathing or meditation per se , it’s an excellent book on the power of water (and nature more broadly) to help us naturally cultivate mindfulness. As a surfer and someone who loves the ocean, it’s one of my all-time favorites.",2025-12-29
Three Steps to Awakening,Larry Rosenberg,"This is a great book on breath and meditation. The first two steps (Breath Awareness and Breath as an Anchor) are full of wisdom on the power of breathing, both literally and metaphorically. Definitely worth reading.",2025-12-22
The Healing Power of Meditation,Andy Fraser (ed.),"This excellent book explores the scientific and practical benefits of meditation. Each chapter is written by a different expert, making it fun to read. Topics include telomerase, gray matter, adaptive functioning, and emotional health. An interesting and highly recommended read.",2025-12-15
Full Catastrophe Living,"Jon Kabat-Zinn, Ph.D","This is the classic text on Mindfulness-Based Stress Reduction (MBSR). It’s full of wisdom on breathing, mindfulness, and healing. A must-read for anyone interested in the contemplative sciences.",2025-12-08
Altered Traits,"Daniel Goleman, Ph.D. & Richard Davidson, Ph.D","I loved this one. It’s a clear, balanced look at what science actually says about meditation. If you enjoy nerding out on contemplative practice, I highly recommend it.",2025-12-01
Elegant Simplicity,Satish Kumar,"Kumar once walked 8,000 miles with no money in his pocket for a cause he believed in…crazy. That ‘be the change’ pilgrimage spirit carries through to this book. He lays out how to simplify your life—not just materially, but also mentally and spiritually, too.",2025-11-24
Mindfulness in Plain English,Bhante Gunaratana,This book is an excellent foundational resource on meditation and mindfulness. I had to read it three times to fully appreciate how good it is. I definitely recommend it.,2025-11-17
Spinal Breathing Pranayama,Yogani,"Even if you don’t practice “spinal breathing pranayama,” this is a great read. It offers many practical guidelines and lots of wisdom on the breath. Definitely worth checking out if you enjoy slow breathing.",2025-11-10
Peace is Every Breath,Thich Nhat Hanh,"Every Thich Nhat Hanh book is worth reading, but I found this one especially powerful (and lyrical) in its exploration of the breath & mindfulness. Definitely worth checking out.",2025-11-03
Breathwalk,"Gurucharan Singh Khalsa, Ph.D., and Yogi Bhajan, Ph.D","Breathwalk is an all-in-one practice combining breathing, meditation, and physical movement. The book includes many specific routines you can try immediately, along with the philosophy and science behind why they work. Definitely worth the read.",2025-10-27
Sovereign,"Emma Seppälä, Ph.D",This is a great book filled with wisdom on taking control of and shaping our lives. It’s also got a ton of good information on the transformational power of breathing (and especially on the science of SKY breathing). Definitely a valuable read.,2025-10-20
Heart Breath Mind,"Leah Lagos, Psy.D",This is an excellent read on the power of slow breathing to train our hearts for better performance and less stress. If you’re into optimal performance—or just love applied breath science—definitely check it out.,2025-10-13
52 Ways to Walk,Annabel Streets,"I loved this book. It’s a perfect blend of science and practical wisdom on all aspects of walking. Several chapters even discuss the benefits of controlled, nasal breathing while out on a stroll. It’s definitely an excellent read if you enjoy a good walk.",2025-10-06
How God Changes Your Brain,"Andrew Newberg, MD, and Mark Waldman",Don't let the title (or New Age-y cover) distract you. This book is actually more like “The Neuroscience of Meditation and Breathing.” A good portion of it focuses on contemplative practices and breathing exercises. It’s a fun and interesting read.,2025-09-29
Falling Upward,Richard Rohr,"This is one of my all-time favorites. It’s not about breathing or meditation per se, but full of wisdom for living a mindful and fulfilling life. Can’t recommend this one enough.",2025-09-22
Natural Meditation,Dean Sluyter,"I just finished this one and loved it. Simple, natural techniques alongside deep (yet super relatable) wisdom. It’s meditation for regular people.",2025-09-15
The Stress Prescription,"Elissa Epel, Ph.D","This is an excellent book if you’re dealing with stress and uncertainty—who isn’t? It’s filled with several great breathing gems and other simple practices for, as the subtitle says, “more joy and ease.”",2025-09-08
Take Your Time,Eknath Easwaran,"This is one of the first books I read by Easwaran, and the one that immediately made him my favorite teacher (I’ve now read 10 of his books!). It’s so good. If you’re like me and always rushing, always “ready for the next thing,” I highly recommend it.",2025-09-01
Breathing: The Master Key to Self Healing,"Andrew Weil, MD","This audiotape, released more than 20 years ago, is one of my top 5 recommendations for anyone beginning with breathing. It’s less than 2 hours and has almost everything we need to start a breath practice. Check it out if you haven’t already.",2025-08-25
Dialed In,Dr. Dana Sinclair,My good friend and mentor Paul Hunt (whose MBSR course I occasionally share) recommended this one to me. It’s fantastic: Super practical and filled with many gems on the power of breathing.,2025-08-18
The Coffee Bean,Jon Gordon and Damon West,"I read this book this past Friday afternoon. It’s so good . Given that coffee is more important to me than oxygen 😂, I’m not sure how it took me this long to hear about it. It’s super short, so I won’t spoil it—just do yourself a favor and pick it up.",2025-08-11
